Self Regional Healthcare,371,420071,Greenwood,S.C.,Nonprofit and/or government,Self Regional Healthcare,More than 250,,,South ,No,,,yes-- healthcare info --> financial aid policy,yes,Yes,https://www.selfregional.org/healthcare-information/financial-aid-policy/,No,,200% FPL,Blue,N/A,Black,"yes, liquid asset limit",Bills exceeding 20% of income,Blue,"yes, must be legal resident of South Carolina",Yes,Blue,Yes,No*,Purple,"Not mentioned in policy, but not a practice, according to Mark Hyatt","Not mentioned in policy, but not a practice, according to Mark Hyatt",No*,Purple,No*,Purple,*According to spokesperson Mark Hyatt,"no B&C, but Hyatt sent NL patient finance agreement, which has info on credit reporting",,http://www.selfregional.org/,,30895
Hampton Regional Medical Center ,372,420072,Varnville,S.C.,Nonprofit and/or government,,26-50,,,South ,No,,,yes -- patient and visitors --> financial assistance,"no, no search bar",Yes,https://www.hamptonregional.org/docs/Uninsured_Financial_Assistance_Policy_FAP_FINAL_updated_11.11.21.pdf,"Some, but not all",https://www.hamptonregional.org/docs/Uninsured_Financial_Assistance_Policy_FAP_FINAL_updated_11.11.21.pdf,200% FPL,Blue,201%-400% FPL,Blue,"yes, assets may be considered according to FAP but income is the main determining factor for financial assistance",No,Black,must live in Hampton County ; patients living outside service area will be considered on case-by-case basis (according to FAP),Yes,Blue,yes according to FAP,No*,Purple,"No; not mentioned in policy, but not a practice, according to Michelle Strickland",Yes,Yes,Blue,No*,Purple,*According to spokesperson Michelle Strickland,"Address change (?)                                                        AHA website:503 West Carolina Avenue Varnville, SC ; ask for billing and collections policy ; ""bad debt placement"" mentioned in FAP",,http://www.hamptonregional.com/,,73600
Coastal Carolina Hospital,373,420101,Hardeeville,S.C.,For-profit,Tenet Healthcare,26-50,,,South ,No,,,yes-- financial resources ,financial resources and financial assistance program,No,,No,"no, not available on website",200% FPL*,Purple,N/A,Black,"No, according to Lesley Bogdanow",Bills exceeding 10% of income*,Purple,"No, according to Lesley Bogdanow",No*,Purple,"Yes; no available policy, but is a practice, according to Lesley Bogdanow",No*,Purple,"No; no available policy, but not a practice, according to Lesley Bogdanow","No; no available policy, but not a practice, according to Lesley Bogdanow",No*,Purple,No*,Purple,*According to spokesperson Lesley Bogdanow,FAP and billing and collections policy not availablefinancila assistance program webpage https://www.hiltonheadregional.com/patients/financial-assistance-program,,http://www.coastalhospital.com/,,32245
Roper St. Francis Mount Pleasant Hospital,374,420104,Mount Pleasant,S.C.,Nonprofit and/or government,Roper St. Francis Healthcare,51-100,,,South ,No,,,yes -- patient and visitors --> financial assistance,yes,Yes,https://www.rsfh.com/upload/docs/Patients%20and%20Visitors/Financial-Assistance-Policy-English.pdf,"Some, but not all",https://www.rsfh.com/upload/docs/Patients%20and%20Visitors/Billing-and-Collections-Policy-2020.pdf,200% FPL,Blue,201%-400% FPL,Blue,FAP states assets are reviewed to determine financial aid eligibility,Bills exceeding 20% of income,Blue,no,Yes*,Purple,Yes according to the billing policy,No,Blue,legal action only pursued if it is recommended by any of the self-pay billing entities ; also needs approval from CFO and corporate legal counsel,No these are not actions the hospital will take according to the billing policy,Yes,Blue,No,Blue,*According to spokesperson Robert Briggs,"Address change (?)                                                        AHA website:3500 Highway 17 North      Mount Pleasant, SC",,http://www.rsfh.com/mount-pleasant-hospital,,48535
Union Medical Center,375,420108,Union,S.C.,Nonprofit and/or government,Spartanburg Regional Healthcare System,51-100,,,South ,No,,,yes-- patients and visitors --> financial asisstance program,yes,No,,No,,200% FPL*,,200%-300% FPL**,Purple,yes-- considers liquid assets but does not consider hard assets (realestate and vehicles) for eligibility,Bills exceeding 25% of income,Blue,"Not mentioned in the policy, but no residency restriction according to Brian Earnest, vice president of Revenue Cycle for SRHS",Yes**,Purple,"Not mentioned in the policy, but is a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS",No**,Purple,"Not mentioned in the policy, but not a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS","Not mentioned in the policy, but not a practice of the hospital according to Brian Earnest, vice president of Revenue Cycle for SRHS",No**,Purple,No*,Purple,"*According to brochure
**According to Brian Earnest, revenue cycle vice president","No publically available billing and collections policy. it was difficult to get a name to attribute the information to.

no FAP available on website -- Financial Assistance program flyer gives some information https://www.spartanburgregional.com/sites/default/files/2022-02/Financial-Assistance-Program_Flyer_8.5x11_2022.pdf ",,https://www.spartanburgregional.com/locations/union-medical-center/,,76435
Edgefield County Healthcare,376,421304,Edgefield,S.C.,Nonprofit and/or government,Self Regional Healthcare,25 or fewer,,,South ,No,,,No,Yes,Yes,https://www.selfregional.org/healthcare-information/financial-aid-policy/,,"no, not available on website",200% FPL,Blue,N/A,Black,"yes, assets reviewed for qualification according to FAP",Bills exceeding 20% of income,Blue,"yes, must be legal resident of South Carolina",Yes,Blue,Yes,No*,Purple,"Not mentioned in policy, but not a practice, according to Mark Hyatt","Not mentioned in policy, but not a practice, according to Mark Hyatt",No*,Purple,No*,Purple,*According to spokesperson Mark Hyatt,"***ask for billing and collections policy ; FAP link, program summary, and application are all available on every page on the website as a hyperlink under ""Additional Information"" that leads straight to them-- very easy to find and nice that they have it show on every page you visit right on the side in English and Spanish. 
“Prompt-pay” discount of 20% can be applied to Self-Pay (uninsured) balance on an account if the patient pays the entire balance within 10 days of the initial negotiation",,http://www.myech.org/,,22795
Avera St. Mary's Hospital,377,430015,Pierre,S.D.,Nonprofit and/or government,Avera Health,101-250,,,Midwest,No,,,no -- have to go through patient and visitors --> scroll down to bill pay and charity care --> find financial assistance hyperlink,yes,Yes,https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,"Some, but not all",https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,250% FPL,Blue,250%-400% FPL,Blue,yes assets are considered according to FAP,No,Black,Must live in the United States to receive charity care,Yes,Blue,yes according to FAP,No*,Purple,"Not mentioned in the policy, but is a practice of the hospital (after all other efforts are exhausted) according to Cale Feller","This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP",Yes*,Purple,No*,Purple,*According to spokespeson Cale Feller,"*** 3 SD Avera hospitals use same policy, but Avera hospital 214 uses a different pollicy",,http://www.avera.org/st-marys-pierre/,,49600
Avera Missouri River Health Center,378,431302,Gettysburg,S.D.,Nonprofit and/or government,Avera Health,51-100,,,Midwest,Yes,,,no,yes -- takes you to financial assistance forms,Yes,https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,"Some, but not all",https://www.avera.org/app/files/public/4735/avera-financial-assistance-corp.pdf,250% FPL,Blue,250%-400% FPL,Blue,yes assets are considered according to FAP,No,Black,Must live in the United States to receive charity care,Yes,Blue,yes according to FAP,No*,Purple,"Not mentioned in the policy, but is a practice of the hospital (after all other efforts are exhausted) according to Cale Feller","This is not a practice of the hospital, but is a practice of third party collection agencies according to the FAP",Yes*,Purple,No*,Purple,*According to spokespeson Cale Feller,,,http://www.avera.org/st-marys-pierre/gettysburg-hospital/,,24260
Sanford Webster Medical Center ,379,431311,Webster,S.D.,Nonprofit and/or government,Sanford Health,25 or fewer,,,Midwest,Yes,,,"yes, link right on homepage and very easy to find",yes,Yes,https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/billing-insurance/2021/financial-assistance---enterprise_english_final.pdf,"Some, but not all",https://www.sanfordhealth.org/-/media/org/files/patients-and-visitors/billing-insurance/2021/collections---enterprise_english_final.pdf,225% FPL,Blue,225%-375% FPL,Blue,"Yes, assets may be considered according to FAP","Yes, but no standards specified",Blue,No,Yes,Blue,Yes according to FAP,No*,Purple,"Yes, conditionally and only after reasonable efforts are made","Yes, conditionally and only after reasonable efforts are made",Yes,Blue,No*,Purple,"*According to Michelle Bruhn, chief financial officer","""Extraordinary collection efforts will not be taken until there is reasonable evidence that a patient/guarantor has income and/or assets to meet his/her obligations"" ",https://docs.google.com/spreadsheets/d/1xjeXixMqk8XxuqX-Bp7GxEYrMkI1_zG9/edit?usp=sharing&ouid=112879486538082511657&rtpof=true&sd=true,http://www.sanfordhealth.org/,,69780
Bennett County Hospital and Nursing Home,380,431314,Martin,S.D.,Nonprofit and/or government,,51-100,,,Midwest,Yes,,,no -- resources --> patients --> charity care policy,no search bar,Yes,https://bennettcountyhospital.com/wp-content/uploads/2019/10/CharityCarePolicyBCH.pdf,No,,200% FPL,Blue,201%-400% FPL,Blue,Assets may be considered-- Assets asked for in Charity Care Application,"Yes, but no standards specified",Blue,no,Unclear*,Red,Hospital CEO Michael Christensen refused to provide pollicy,Unclear*,Red,Hospital CEO Michael Christensen refused to provide pollicy,"Hospital CEO Michael Christensen refused to provide pollicy, but said garnishment is not ""typically"" used",Unclear*,Red,No**,Purple,"**No available policy and hospital did not provide data requested by KHN
**According to CEO Michael Christensen","Mike Jager stated in email that their FAP is a little outdated but they are currently working on updating their policy ; FAP states ""BCH, NH & RHC has an established Collection Policy"" but cannot find policy on website",,http://bennettcountyhospital.com/,,41100
Monument Health Sturgis Hospital,381,431321,Sturgis,S.D.,Nonprofit and/or government,Monument Health,101-250,,,Midwest,Yes,,,"Yes, under ""patients and visitors"" tab/menu",Yes,Yes,https://monument.health/wp-content/uploads/2021/07/Monument-Health-Charity-Care-Discounting-Policy.pdf,No,,250% FPL,Blue,250%-300% FPL,Blue,Yes,Bills exceeding 15% of income,Blue,Yes (Monument Health Service Area),No*,Purple,Yes this is a practice of the hospital according to Dan Daly,Yes**,Purple,This is a practice of the hospital according to Dan Daly,This is a practice of the hospital according to Dan Daly,Yes*,Purple,Unclear***,Red,"*According to spokesperson Dan Daly
*Allowed, but not current practice, according to Daly
**No available policy and hospital did not provide data requested by KHN",No publicly available Billing and Collections policy ***,,https://monument.health/,,62100
